id,round_id,name,week
19146697,340573,Hearts vs Rangers,1
19146698,340573,Motherwell vs Ross County,1
19146699,340573,Dundee United vs Dundee,1
19146700,340573,St. Mirren vs Hibernian,1
19146701,340573,Celtic vs Kilmarnock,1
19146702,340573,St. Johnstone vs Aberdeen,1
19146703,340574,Aberdeen vs St. Mirren,2
19146704,340574,Kilmarnock vs St. Johnstone,2
19146705,340574,Rangers vs Motherwell,2
19146706,340574,Ross County vs Dundee United,2
19146707,340574,Dundee vs Hearts,2
19146708,340574,Hibernian vs Celtic,2
19146709,340575,Aberdeen vs Kilmarnock,3
19146710,340575,Dundee United vs St. Johnstone,3
19146711,340575,Hibernian vs Dundee,3
19146712,340575,Motherwell vs Hearts,3
19146713,340575,Rangers vs Ross County,3
19146714,340575,St. Mirren vs Celtic,3
